restaurant_id,DBA,BORO,CUISINE DESCRIPTION,Latitude,Longitude
30075445,MORRIS PARK BAKE SHOP,Bronx,Bakery Products/Desserts,40.84823122,-73.85597189
30191841,D.J. REYNOLDS,Manhattan,Irish,40.76732571,-73.98431042
40356018,RIVIERA CATERERS,Brooklyn,American,40.57989566,-73.98208666
40356483,WILKEN'S FINE FOOD,Brooklyn,Sandwiches,40.62011159,-73.90698949
40357217,WILD ASIA,Bronx,American,40.85053675,-73.88245508
40359480,1 EAST 66TH STREET KITCHEN,Manhattan,American,40.76854691,-73.96958058
40359705,NATHAN'S FAMOUS,Brooklyn,Hotdogs,40.57553687,-73.98165226
40360045,SEUDA FOODS,Brooklyn,Jewish/Kosher,40.60618692,-73.96546645
40361618,SAL'S DELI,Queens,Sandwiches,40.78167384,-73.83941598
40362264,P & S DELI GROCERY,Manhattan,American,40.79262064,-73.96770962
40362274,ANGELIKA FILM CENTER,Manhattan,American,40.72574362,-73.99747811
40362432,HO MEI,Queens,Chinese,40.75330591,-73.86429538
40362869,SHASHEMENE INT'L RESTAURANT,Brooklyn,Caribbean,40.65198322,-73.92457494
40363298,CAFE METRO,Manhattan,American,40.75618542,-73.99056473
40363427,BAGELS N BUNS,Staten Island,Sandwiches,40.61026786,-74.14640121
40363834,CARVEL,Staten Island,Frozen Desserts,40.59855313,-74.07964601
40363920,NEW GOLDEN BILLION,Brooklyn,Chinese,40.66214059,-73.92718021
40364179,MISS MAIME'S SPOONBREAD TOO,Manhattan,Soul Food,40.80137127,-73.96015994
40364220,KOSHER BAGEL HOLE,Brooklyn,Jewish/Kosher,40.62511113,-73.96203434
40364296,HAPPY GARDEN,Bronx,Chinese,40.86364881,-73.89423962
40364335,PETER LUGER STEAKHOUSE,Brooklyn,Steakhouse,40.7099798,-73.96251244
40364347,METROPOLITAN CLUB,Manhattan,American,40.76479552,-73.97230783
40364373,ISLE OF CAPRI,Manhattan,Italian,40.76270774,-73.96574958
40364389,OLD TOWN BAR,Manhattan,American,40.73759507,-73.98964721
40364439,SEVILLA,Manhattan,Spanish,40.73490838,-74.00297329
40364443,CRIMINAL COURT BLDG CAFETERIA,Manhattan,American,40.71607657,-74.0014249
