track_name,danceability,energy,loudness,acousticness,instrumentalness,valence,tempo,duration_ms,explicit,key,mode,key_name,mode_name,key_mode
Tim McGraw,0.41,0.35,0.22,0.95,0.75,0.78,76.0,232106.0,0.0,0.0,1.0,C,major,C major
Picture To Burn,0.43,0.41,0.13,0.91,0.75,0.8,105.47,173066.0,0.0,2.0,1.0,D,major,D major
Teardrops On My Guitar,0.45,0.32,0.25,0.96,0.76,0.48,99.38,203040.0,0.0,5.0,0.0,F,minor,F minor
A Place In This World,0.48,0.38,0.14,0.94,0.74,0.79,114.84,199200.0,0.0,9.0,1.0,A,major,A major
Cold As You,0.44,0.35,0.21,0.95,0.75,0.78,87.59,239013.0,0.0,0.0,1.0,C,major,C major
The Outside,0.44,0.4,0.12,0.93,0.74,0.5,112.35,207106.0,0.0,5.0,0.0,F,minor,F minor
Tied Together With A Smile,0.49,0.36,0.15,0.95,0.74,0.8,143.55,248106.0,0.0,4.0,1.0,E,major,E major
Stay Beautiful,0.48,0.34,0.23,0.95,0.75,0.5,132.51,236053.0,0.0,8.0,0.0,G#,minor,G# minor
Should've Said No,0.38,0.37,0.16,0.95,0.74,0.78,83.35,242200.0,0.0,2.0,1.0,D,major,D major
Mary's Song (Oh My My My),0.51,0.38,0.17,0.94,0.75,0.8,147.66,213080.0,0.0,9.0,1.0,A,major,A major
Our Song,0.45,0.35,0.22,0.96,0.75,0.78,89.1,201106.0,0.0,9.0,1.0,A,major,A major
I'm Only Me When I'm With You,0.47,0.36,0.18,0.95,0.74,0.5,143.55,213053.0,0.0,3.0,0.0,D#,minor,D# minor
Invisible,0.44,0.32,0.25,0.97,0.76,0.78,97.51,203226.0,0.0,7.0,1.0,G,major,G major
A Perfectly Good Heart,0.44,0.35,0.2,0.97,0.74,0.8,152.0,220146.0,0.0,11.0,1.0,B,major,B major
Teardrops On My Guitar (Pop Version),0.43,0.34,0.25,0.94,0.76,0.49,99.38,179066.0,0.0,10.0,0.0,A#,minor,A# minor
Fearless,0.43,0.35,0.23,0.94,0.76,0.49,99.38,242000.0,0.0,5.0,0.0,F,minor,F minor
Fifteen,0.45,0.35,0.22,0.95,0.75,0.79,95.7,294346.0,0.0,7.0,1.0,G,major,G major
Love Story,0.47,0.4,0.13,0.93,0.74,0.8,117.45,235280.0,0.0,2.0,1.0,D,major,D major
Hey Stephen,0.43,0.32,0.29,0.94,0.77,0.48,77.13,254320.0,0.0,1.0,0.0,C#,minor,C# minor
White Horse,0.44,0.31,0.32,0.96,0.77,0.78,92.29,234440.0,0.0,2.0,1.0,D,major,D major
You Belong With Me,0.46,0.38,0.14,0.94,0.74,0.5,129.2,231146.0,0.0,10.0,0.0,A#,minor,A# minor
Breathe,0.51,0.34,0.24,0.95,0.76,0.5,147.66,263986.0,0.0,1.0,0.0,C#,minor,C# minor
Tell Me Why,0.43,0.37,0.18,0.95,0.75,0.79,99.38,200560.0,0.0,7.0,1.0,G,major,G major
You're Not Sorry,0.46,0.37,0.17,0.94,0.75,0.5,136.0,261800.0,0.0,6.0,0.0,F#,minor,F# minor
The Way I Loved You,0.5,0.38,0.13,0.95,0.74,0.8,161.5,244240.0,0.0,9.0,1.0,A,major,A major
Forever & Always,0.43,0.35,0.24,0.93,0.76,0.5,129.2,225333.0,0.0,9.0,0.0,A,minor,A minor
The Best Day,0.5,0.32,0.31,0.95,0.77,0.48,129.2,245346.0,0.0,1.0,0.0,C#,minor,C# minor
Change,0.42,0.38,0.18,0.94,0.74,0.49,95.7,281053.0,0.0,5.0,0.0,F,minor,F minor
Jump Then Fall,0.4,0.36,0.22,0.94,0.75,0.79,107.67,237066.0,0.0,4.0,1.0,E,major,E major
Untouchable,0.45,0.33,0.26,0.95,0.76,0.78,99.38,311040.0,0.0,9.0,1.0,A,major,A major
Forever & Always (Piano Version),0.44,0.31,0.24,0.95,0.77,0.72,112.35,267506.0,0.0,4.0,1.0,E,major,E major
Come In With The Rain,0.47,0.37,0.17,0.94,0.75,0.8,143.55,238106.0,0.0,7.0,1.0,G,major,G major
SuperStar,0.45,0.33,0.24,0.96,0.76,0.76,86.13,261453.0,0.0,2.0,1.0,D,major,D major
The Other Side Of The Door,0.47,0.38,0.17,0.94,0.75,0.81,161.5,237600.0,0.0,4.0,1.0,E,major,E major
Mine,0.48,0.38,0.18,0.94,0.75,0.8,120.19,230706.0,0.0,2.0,1.0,D,major,D major
Sparks Fly,0.48,0.39,0.13,0.93,0.74,0.5,114.84,260933.0,0.0,5.0,0.0,F,minor,F minor
Back To December,0.48,0.33,0.24,0.97,0.76,0.8,143.55,293026.0,0.0,2.0,1.0,D,major,D major
Speak Now,0.49,0.38,0.18,0.93,0.75,0.8,120.19,240760.0,0.0,7.0,1.0,G,major,G major
Dear John,0.48,0.34,0.24,0.95,0.75,0.79,117.45,403920.0,0.0,4.0,1.0,E,major,E major
