Zip Code,1to25000,25000to50000,50000to75000,75000to100000,100000to200000,200000more
98001,3510,3600,2960,2110,3970,1380
98002,4300,4830,3320,1880,2140,330
98003,5610,5820,4400,2460,3400,950
98004,2700,1890,1770,1520,4920,7320
98005,1580,1170,1130,870,2370,3180
98006,3520,2130,1780,1340,3810,6840
98007,2410,2110,1650,1300,3020,2710
98008,2130,1660,1330,1030,2570,3850
98010,580,520,490,430,1200,870
98011,2270,1980,1930,1480,3040,3000
98012,5410,4570,4020,3140,8290,8140
98014,640,510,390,340,850,920
98019,1050,750,600,510,1450,1690
98020,1790,1420,1440,1110,2660,2620
98021,2530,1860,1690,1400,3600,4860
98022,2180,2000,1800,1360,2970,1210
98023,5060,5500,4220,2850,4870,1710
98024,460,360,320,240,570,670
98026,3360,3200,2940,2210,4790,2910
98027,2230,1710,1710,1470,3530,4350
98028,1990,1640,1490,1150,2600,2940
98029,2130,1410,1370,1130,3110,5020
98030,4130,4450,3200,1880,2980,820
98031,4480,4690,3620,2330,4100,1320
98032,4190,4720,3680,2050,2750,650
98033,2830,2110,1910,1600,4110,8030
98034,4270,3730,3460,2670,6230,6190
98036,4060,4050,3160,2130,4290,2550
98037,2980,3010,2440,1680,3130,1450
98038,2710,2150,1840,1610,4850,3470
98039,280,120,90,70,200,790
98040,2040,1060,1050,920,2350,5280
98042,4490,4310,3660,2770,6200,2720
98043,2140,2240,2170,1450,2480,880
98045,1300,1000,900,750,2050,2170
98047,680,790,660,400,520,80
98051,340,290,250,190,490,380
98052,5020,4040,3650,2880,8760,12830
98053,1570,1010,910,680,2010,3940
98055,2270,2740,2300,1500,2430,780
98056,3240,3330,2860,1950,3700,2640
98057,1470,1680,1460,890,1150,400
98058,3980,3840,3370,2400,5270,2620
98059,3480,2820,2480,1820,4580,4360
98065,1120,730,630,490,1470,2580
98070,1200,890,720,540,1310,960
98072,2080,1560,1350,1170,2830,3890
98074,2040,950,830,670,2240,6360
98075,1910,840,700,540,1760,5460
98077,1040,590,460,400,1140,2480
98087,3980,4270,3390,2300,4270,1920
98092,4840,4400,3700,2520,5360,2350
98101,1030,1230,1210,1030,2970,2620
98102,1830,2660,2910,2130,3840,2870
98103,3750,4430,4750,3510,7230,6750
98104,1690,1750,1280,790,1430,1030
98105,4870,3390,2070,1210,2510,3640
98106,2450,2630,2150,1450,2990,1470
98107,2020,2540,2750,2170,4420,3620
98108,2850,2770,2200,1300,2260,1160
98109,1910,2530,2820,2470,6450,5270
98110,2330,1290,1110,990,2870,3860
98112,1730,1460,1530,1100,2360,4020
98115,4700,4220,3710,2890,6340,7680
98116,2030,2090,2260,1820,3760,3550
98117,2560,2200,2280,1850,4540,5310
98118,5380,5330,4100,2510,4590,2950
98119,1580,1970,2150,1620,3060,3200
98121,1210,1500,1520,1260,4040,3780
98122,3530,4310,3940,2580,5290,4200
98125,4120,4220,3630,2280,4400,3070
98126,1940,1810,1740,1300,2970,2160
98133,4880,5160,4540,2970,5140,2810
98134,80,70,60,40,60,50
98136,1180,1050,1100,950,2260,2290
98144,3180,3300,2790,1830,3530,3100
98146,2810,2900,2350,1520,2780,1430
98148,1100,1240,990,610,900,310
98155,3320,3080,2770,1970,4180,2930
98164,0,30,0,0,40,40
98166,1990,1840,1670,1190,2490,1910
98168,4410,4720,3490,2000,2800,650
98177,1700,1210,1130,930,2320,3090
98178,2870,2890,2300,1510,2530,1050
98188,3370,3700,2620,1430,1830,490
98198,4250,4320,3410,2230,3440,1130
98199,1440,1230,1320,1060,2480,3830
98201,3080,3560,2680,1700,2560,750
98203,3550,3820,3020,2120,3830,1260
98204,4680,5620,4030,2320,2810,450
98208,5470,5420,4330,3060,6720,2720
98220,60,70,60,40,70,0
98221,2470,2060,1770,1340,2910,1600
98223,4070,4600,3560,2680,5440,1540
98225,6790,5680,3310,2000,3380,1520
98226,5330,5280,3630,2440,4360,1890
98229,3840,3290,2250,1680,3470,1850
98230,2030,1900,1510,1040,1980,770
98232,410,360,290,220,470,280
98233,1870,2020,1360,860,1510,370
98236,620,570,440,340,760,380
98237,470,430,340,220,300,50
98239,750,680,610,480,910,370
98240,380,320,250,200,360,90
98241,260,240,240,150,200,0
98244,330,320,220,140,210,80
98245,550,440,350,210,410,270
98247,870,930,670,500,830,220
98248,2850,2860,2140,1480,2840,870
98249,660,480,440,350,660,400
98250,1060,900,720,490,910,650
98251,480,540,450,350,440,60
98252,930,1020,850,690,1380,290
98253,220,180,150,110,240,120
98257,500,430,320,280,500,230
98258,4200,4160,3560,3030,7210,2860
98260,750,500,400,320,730,450
98261,410,310,200,140,260,150
98262,120,90,80,60,120,50
98264,2370,2230,1670,1370,2320,850
98266,500,520,380,220,230,40
98267,70,50,30,30,50,0
98270,4920,5440,4490,3290,6100,1390
98271,3130,3480,2670,1820,3110,720
98272,2570,2570,2050,1510,3460,1760
98273,3370,3620,2580,1560,2610,720
98274,1820,1820,1390,1000,2130,720
98275,1770,1540,1470,1110,2900,2080
98276,140,150,110,100,180,0
98277,3500,5270,3460,2280,3610,890
98279,80,60,50,30,70,50
98281,220,130,90,60,130,100
98282,1650,1500,1260,1070,2300,990
98283,40,40,40,0,40,0
98284,2740,3020,2250,1540,2450,530
98290,3170,2770,2360,1800,4610,2910
98292,2350,2160,1730,1420,3310,1190
98294,760,850,710,590,1080,200
98295,260,290,240,170,240,50
98296,2290,1550,1330,1080,3350,3320
98303,160,120,100,90,150,60
98304,110,90,70,30,60,0
98305,70,30,30,20,50,0
98310,2060,2640,2010,1270,1740,320
98311,2470,2820,2360,1810,3010,570
98312,3060,3870,3010,2070,3210,860
98315,180,620,370,150,130,0
98320,190,150,120,70,120,30
98321,1520,1470,1240,930,2360,940
98323,50,70,70,50,110,0
98325,320,260,180,130,190,50
98326,80,60,50,20,40,0
98327,710,910,780,610,1210,320
98328,960,940,790,640,1240,350
98329,840,820,700,600,1130,390
98330,40,30,30,0,20,0
98331,660,530,420,240,340,80
98332,1540,1090,980,890,2520,2190
98333,310,230,190,190,550,540
98335,2390,1910,1780,1450,3740,2990
98336,110,110,80,40,70,0
98337,780,920,710,440,490,100
98338,2750,2760,2350,1690,3350,880
98339,510,500,360,200,270,90
98340,270,210,210,180,410,190
98342,160,140,130,80,200,90
98346,1010,960,810,570,1270,570
98349,470,460,410,280,500,150
98351,120,90,70,80,100,30
